bin,bin_name,count,cumulative_sum
0,0,7491,7491
1,100,5392,12883
2,200,6492,19375
3,300,8163,27538
4,400,9484,37022
5,500,11258,48280
6,600,13247,61527
7,700,15118,76645
8,800,17288,93933
9,900,21248,115181
10,1000,25534,140715
11,1100,27289,168004
12,1200,29173,197177
13,1300,31998,229175
14,1400,35201,264376
15,1500,37938,302314
16,1600,41125,343439
17,1700,44164,387603
18,1800,48144,435747
19,1900,55037,490784
20,2000,65894,556678
21,2100,65130,621808
22,2200,68735,690543
23,2300,71875,762418
24,2400,76515,838933
25,2500,80008,918941
26,2600,83524,1002465
27,2700,85781,1088246
28,2800,90217,1178463
29,2900,100435,1278898
30,3000,124804,1403702
31,3100,109485,1513187
32,3200,106291,1619478
33,3300,103075,1722553
34,3400,100982,1823535
35,3500,95673,1919208
36,3600,83088,2002296
37,3700,75345,2077641
38,3800,69127,2146768
39,3900,67592,2214360
40,4000,92298,2306658
41,4100,62454,2369112
42,4200,52849,2421961
43,4300,44133,2466094
44,4400,38624,2504718
45,4500,32967,2537685
46,4600,25223,2562908
47,4700,19402,2582310
48,4800,15100,2597410
49,4900,13189,2610599
50,5000,22581,2633180
51,5100,10500,2643680
52,5200,7454,2651134
53,5300,5611,2656745
54,5400,4432,2661177
55,5500,4151,2665328
56,5600,2740,2668068
57,5700,2147,2670215
58,5800,1714,2671929
59,5900,1541,2673470
60,6000,2975,2676445
61,6100,1264,2677709
62,6200,892,2678601
63,6300,676,2679277
64,6400,553,2679830
65,6500,553,2680383
66,6600,342,2680725
67,6700,297,2681022
68,6800,226,2681248
69,6900,197,2681445
70,7000,390,2681835
71,7100,183,2682018
72,7200,106,2682124
73,7300,117,2682241
74,7400,97,2682338
75,7500,70,2682408
76,7600,53,2682461
77,7700,44,2682505
78,7800,37,2682542
79,7900,30,2682572
80,8000,72,2682644
81,8100,26,2682670
82,8200,22,2682692
83,8300,11,2682703
84,8400,16,2682719
85,8500,14,2682733
86,8600,4,2682737
87,8700,7,2682744
88,8800,10,2682754
89,8900,5,2682759
90,9000,8,2682767
91,9100,1,2682768
93,9300,3,2682771
94,9400,1,2682772
95,9500,1,2682773
96,9600,1,2682774
97,9700,1,2682775
100,10000,1,2682776
