bin,bin_name,count,cumulative_sum
11,11,36,36
12,12,251,287
13,13,973,1260
14,14,3154,4414
15,15,7388,11802
16,16,11591,23393
17,17,16341,39734
21,21,20659,60393
22,22,24060,84453
23,23,27739,112192
24,24,31261,143453
25,25,35639,179092
26,26,39107,218199
27,27,41811,260010
31,31,47602,307612
32,32,51381,358993
33,33,56052,415045
34,34,59776,474821
35,35,64531,539352
36,36,68083,607435
37,37,71120,678555
41,41,78907,757462
42,42,81692,839154
43,43,86734,925888
44,44,88858,1014746
45,45,91871,1106617
46,46,92677,1199294
47,47,93716,1293010
51,51,100214,1393224
52,52,99177,1492401
53,53,99380,1591781
54,54,96635,1688416
55,55,93788,1782204
56,56,88235,1870439
57,57,82128,1952567
61,61,83947,2036514
62,62,76124,2112638
63,63,68466,2181104
64,64,60763,2241867
65,65,54323,2296190
66,66,46903,2343093
67,67,147090,2490183
71,71,19898,2510081
72,72,16498,2526579
73,73,13964,2540543
74,74,11469,2552012
75,75,9146,2561158
76,76,7449,2568607
77,77,5971,2574578
80,80,28058,2602636
